,0
0,5.554054054054054
1,5.905405405405405
2,5.445945945945946
3,5.0
4,5.2939189189189175
5,5.702702702702701
6,6.202702702702703
7,6.783783783783782
8,4.797297297297297
9,4.770270270270269
10,5.716216216216214
11,6.648648648648648
12,4.2027027027027035
13,5.554054054054054
14,5.89189189189189
15,4.824324324324324
16,5.905405405405404
17,3.9729729729729737
18,4.785472972972973
19,6.065878378378376
20,5.864864864864863
21,5.594594594594594
